snuggle,7.92
social,6.88
soft,7.12
solemn,4.32
song,7.1
soothe,7.3
sour,3.93
space,6.78
spanking,3.55
sphere,5.33
spider,3.33
spirit,7
spouse,7.58
spray,5.45
spring,7.76
square,4.74
stagnant,4.15
star,7.27
startled,4.5
starving,2.39
statue,5.17
stench,2.19
stiff,4.68
stink,3
stomach,4.82
stool,4.56
storm,4.95
stove,4.98
street,5.22
stress,2.09
strong,7.11
stupid,2.31
subdued,4.67
success,8.29
suffocate,1.56
sugar,6.74
suicide,1.25
sun,7.55
sunlight,7.76
sunrise,7.86
sunset,7.68
surgery,2.86
surprised,7.47
suspicious,3.76
swamp,5.14
sweetheart,8.42
swift,6.46
swimmer,6.54
syphilis,1.68
table,5.22
talent,7.56
tamper,4.1
tank,5.16
taste,6.66
taxi,5
teacher,5.68
tease,4.84
tender,6.93
tennis,6.02
tense,3.56
termite,3.58
terrible,1.93
terrific,8.16
terrified,1.72
terrorist,1.69
thankful,6.89
theory,5.3
thermometer,4.73
thief,2.13
thorn,3.64
thought,6.39
thoughtful,7.65
thrill,8.05
tidy,6.3
time,5.31
timid,3.86
tobacco,3.28
tomb,2.94
tool,5.19
toothache,1.98
tornado,2.55
torture,1.56
tower,5.46
toxic,2.1
toy,7
tragedy,1.78
traitor,2.22
trash,2.67
trauma,2.1
travel,7.1
treasure,8.27
treat,7.36
tree,6.32
triumph,7.8
triumphant,8.82
trophy,7.78
trouble,3.03
troubled,2.17
truck,5.47
trumpet,5.75
trunk,5.09
trust,6.68
truth,7.8
tumor,2.36
tune,6.93
twilight,7.23
ugly,2.43
ulcer,1.78
umbrella,5.16
unfaithful,2.05
unhappy,1.57
unit,5.59
untroubled,7.62
upset,2
urine,3.25
useful,7.14
useless,2.13
utensil,5.14
vacation,8.16
vagina,6.14
valentine,8.11
vampire,4.26
vandal,2.71
vanity,4.3
vehicle,6.27
venom,2.68
vest,5.25
victim,2.18
victory,8.32
vigorous,6.79
village,5.92
violent,2.29
violin,5.43
virgin,6.45
virtue,6.22
vision,6.62
volcano,4.84
vomit,2.06
voyage,6.25
wagon,5.37
war,2.08
warmth,7.41
wasp,3.37
waste,2.93
watch,5.78
water,6.61
waterfall,7.88
wealthy,7.7
weapon,3.97
weary,3.79
wedding,7.82
whistle,5.81
white,6.47
whore,2.3
wicked,2.96
wife,6.33
win,8.38
windmill,5.6
window,5.91
wine,5.95
wink,6.93
wise,7.52
world,6.5
wounds,2.51
writer,5.52
yacht,6.95
yellow,5.61
young,6.89
youth,6.75
zest,6.79
FALSE,3.27
